scope,condition,year,groups,candidate_rows_mean,selected_rows_mean,candidate_condition_count_mean,selected_condition_count_mean,candidate_condition_share_pct,selected_condition_share_pct,selection_enrichment_x,selected_condition_next_bps,selected_condition_contribution_bps,pool_next_bps,original_top_next_bps,original_excess_bps,reselected_top_next_bps,reselected_excess_vs_original_pool_bps,reselected_excess_vs_filtered_pool_bps,reselected_excess_delta_vs_original_bps
scoreable_pool,decision_sealed_at_limit,2023,2420,3348.3305785123966,100.0,0.05,0.00041322314049586776,0.0014932814675131063,0.00041322314049586776,0.27672153541424765,-344.0516719095832,-0.001421701123593319,6.942944780384877,28.297674086598416,21.35472930621354,28.300599199972805,21.357654419587924,21.356317634043833,0.0029251133743848357
scoreable_pool,touched_limit_by_decision,2023,2420,3348.3305785123966,100.0,2.3008264462809915,0.5599173553719008,0.06871562984390889,0.5599173553719008,8.148326030683005,9.784657890668418,0.054785997693618575,6.942944780384877,28.297674086598416,21.35472930621354,28.350937874830596,21.40799309444572,21.36155292862341,0.05326378823218292
scoreable_pool,touched_limit_but_opened,2023,2420,3348.3305785123966,100.0,2.1913223140495868,0.5590909090909091,0.06544522001836366,0.5590909090909091,8.542883787907359,9.752890443231482,0.05452752384170323,6.942944780384877,28.297674086598416,21.35472930621354,28.350773257357584,21.407828476972707,21.364441312792938,0.053099170759168146
scoreable_pool,decision_within_10bps,2023,2420,3348.3305785123966,100.0,0.19297520661157025,0.001652892561983471,0.005763325994451411,0.001652892561983471,0.28679491036508753,182.1424760635851,0.0030106194390675223,6.942944780384877,28.297674086598416,21.35472930621354,28.294811137377543,21.351866356992666,21.34938333885159,-0.0028629492208729346
scoreable_pool,decision_within_25bps,2023,2420,3348.3305785123966,100.0,0.30247933884297523,0.008264462809917356,0.009033735819996643,0.008264462809917356,0.9148444203585784,90.6321183353274,0.007490257713663422,6.942944780384877,28.297674086598416,21.35472930621354,28.292238374963606,21.349293594578732,21.34580468837417,-0.005435711634806495
scoreable_pool,decision_within_50bps,2023,2420,3348.3305785123966,100.0,0.4871900826446281,0.03512396694214876,0.014550238431388035,0.035123966942148754,2.41397878857976,90.77953199517566,0.03188537280822285,6.942944780384877,28.297674086598416,21.35472930621354,28.28494286786096,21.34199808747608,21.340989430084846,-0.012731218737457084
scoreable_pool,decision_within_100bps,2023,2420,3348.3305785123966,100.0,0.9008264462809917,0.14132231404958678,0.026903748753541918,0.14132231404958676,5.2528855864735755,84.05609063563355,0.1187900123858953,6.942944780384877,28.297674086598416,21.35472930621354,28.20590277029897,21.262957989914096,21.26372434872971,-0.09177131629944313
scoreable_pool,decision_within_200bps,2023,2420,3348.3305785123966,100.0,2.1789256198347107,0.5805785123966942,0.06507498494377363,0.5805785123966942,8.921684928522506,35.161031552381615,0.20413739393014943,6.942944780384877,28.297674086598416,21.35472930621354,28.349450235583298,21.40650545519842,21.393544692295762,0.05177614898488159
scoreable_pool,entry_no_offer,2023,2420,3348.3305785123966,100.0,0.0,0.0,0.0,0.0,,,0.0,6.942944780384877,28.297674086598416,21.35472930621354,28.297674086598416,21.35472930621354,21.35472930621354,0.0
scoreable_pool,entry_at_limit_with_offer,2023,2420,3348.3305785123966,100.0,0.10371900826446281,0.00371900826446281,0.0030976334574032206,0.00371900826446281,1.2005966217773534,-213.98435791175865,-0.007958095955395983,6.942944780384877,28.297674086598416,21.35472930621354,28.30990835412426,21.366963573739387,21.36641049373082,0.012234267525847997
