scope,condition,clock,groups,candidate_rows_mean,selected_rows_mean,candidate_condition_count_mean,selected_condition_count_mean,candidate_condition_share_pct,selected_condition_share_pct,selection_enrichment_x,selected_condition_next_bps,selected_condition_contribution_bps,pool_next_bps,original_top_next_bps,original_excess_bps,reselected_top_next_bps,reselected_excess_vs_original_pool_bps,reselected_excess_vs_filtered_pool_bps,reselected_excess_delta_vs_original_bps
scoreable_pool,decision_at_limit,09:36,969,3330.7430340557275,100.0,0.19195046439628483,0.0,0.005762992294321593,0.0,0.0,,0.0,11.147573340172695,27.681430253209665,16.53385691303697,27.681430253209665,16.53385691303697,16.533881870935215,0.0
scoreable_pool,decision_at_limit,09:37,969,3318.656346749226,100.0,0.1785345717234262,0.0030959752321981426,0.0053797245954167235,0.0030959752321981426,0.5754895398987097,-305.6417657459365,-0.009462593366747258,10.583675161101725,27.10959155093119,16.525916389829465,27.103228173779783,16.51955301267806,16.522168161636422,-0.006363377151405558
scoreable_pool,decision_at_limit,09:38,969,3311.533539731682,100.0,0.14654282765737875,0.0010319917440660474,0.004425225530684264,0.0010319917440660476,0.23320658730504806,126.58215432457042,0.00130631738209051,10.338433283938315,24.190091788083745,13.851658504145428,24.189362921587538,13.850929637649221,13.85072418824051,-0.0007288664962068481
scoreable_pool,decision_at_limit,09:39,969,3307.1630546955626,100.0,0.15479876160990713,0.0010319917440660474,0.0046807115055945425,0.0010319917440660476,0.22047753697970418,-344.0516719095832,-0.0035505848494281032,9.669375929469336,22.225458252294665,12.556082322825326,22.232763488998497,12.563387559529158,12.561191829090902,0.0073052367038322075
scoreable_pool,decision_at_limit,09:40,969,3309.529411764706,100.0,0.1393188854489164,0.0030959752321981426,0.004209628261760298,0.0030959752321981426,0.7354509803921568,-68.35654321299178,-0.0021163016474610454,9.44682360263554,21.907234247537193,12.460410644901652,21.923117645259733,12.476294042624193,12.477049026990507,0.01588339772254166
scoreable_pool,decision_at_limit_with_offer,09:31,969,3366.3642930856554,100.0,0.10939112487100103,0.0,0.003249533186164223,0.0,0.0,,0.0,12.08094938591074,33.867445967696845,21.7864965817861,33.867445967696845,21.7864965817861,21.78195515953613,0.0
scoreable_pool,decision_at_limit_with_offer,09:32,969,3359.075335397317,100.0,0.1001031991744066,0.0,0.0029800819921940286,0.0,0.0,,0.0,13.107300496115242,35.685510405568614,22.578209909453374,35.685510405568614,22.578209909453374,22.57548145820843,0.0
scoreable_pool,decision_at_limit_with_offer,09:33,969,3352.3653250773996,100.0,0.09391124871001032,0.0010319917440660474,0.0028013429206986,0.0010319917440660476,0.3683917939645494,873.3087677155548,0.009012474383029462,12.158557548603186,32.82412107542393,20.665563526820744,32.816050662490596,20.657493113887412,20.65516345852932,-0.008070412933331994
scoreable_pool,decision_at_limit_with_offer,09:34,969,3341.9731682146544,100.0,0.11351909184726522,0.0,0.0033967684997276413,0.0,0.0,,0.0,12.19526606409853,30.32557502689261,18.130308962794082,30.32557502689261,18.130308962794082,18.128565408877126,0.0
scoreable_pool,decision_at_limit_with_offer,09:35,969,3341.5407636738905,100.0,0.10732714138286893,0.0,0.003211905793567726,0.0,0.0,,0.0,11.721873312959445,28.34739226860814,16.625518955648698,28.34739226860814,16.625518955648698,16.626917194344486,0.0
scoreable_pool,decision_at_limit_with_offer,09:36,969,3330.7430340557275,100.0,0.1197110423116615,0.0,0.0035941242265661554,0.0,0.0,,0.0,11.147573340172695,27.681430253209665,16.53385691303697,27.681430253209665,16.53385691303697,16.536782768041803,0.0
scoreable_pool,decision_at_limit_with_offer,09:37,969,3318.656346749226,100.0,0.11558307533539731,0.0030959752321981426,0.0034828274837379945,0.0030959752321981426,0.8889258071649713,-305.6417657459365,-0.009462593366747258,10.583675161101725,27.10959155093119,16.525916389829465,27.103228173779783,16.51955301267806,16.52151053276244,-0.006363377151405558
scoreable_pool,decision_at_limit_with_offer,09:38,969,3311.533539731682,100.0,0.09391124871001032,0.0010319917440660474,0.0028358839668469584,0.0010319917440660476,0.36390478458589914,126.58215432457042,0.00130631738209051,10.338433283938315,24.190091788083745,13.851658504145428,24.189362921587538,13.850929637649221,13.85254177986357,-0.0007288664962068481
scoreable_pool,decision_at_limit_with_offer,09:39,969,3307.1630546955626,100.0,0.09391124871001032,0.0,0.0028396316467273557,0.0,0.0,,0.0,9.669375929469336,22.225458252294665,12.556082322825326,22.225458252294665,12.556082322825326,12.552704018080313,0.0
scoreable_pool,decision_at_limit_with_offer,09:40,969,3309.529411764706,100.0,0.09803921568627451,0.0030959752321981426,0.0029623309990165062,0.0030959752321981426,1.0451145510835913,-68.35654321299178,-0.0021163016474610454,9.44682360263554,21.907234247537193,12.460410644901652,21.923117645259733,12.476294042624193,12.476005983698595,0.01588339772254166
scoreable_pool,decision_sealed_at_limit,09:31,969,3366.3642930856554,100.0,0.1238390092879257,0.0,0.0036787168145255363,0.0,0.0,,0.0,12.08094938591074,33.867445967696845,21.7864965817861,33.867445967696845,21.7864965817861,21.778782826205248,0.0
scoreable_pool,decision_sealed_at_limit,09:32,969,3359.075335397317,100.0,0.1001031991744066,0.0,0.0029800819921940286,0.0,0.0,,0.0,13.107300496115242,35.685510405568614,22.578209909453374,35.685510405568614,22.578209909453374,22.576462241206034,0.0
scoreable_pool,decision_sealed_at_limit,09:33,969,3352.3653250773996,100.0,0.09287925696594428,0.0,0.0027705589325590545,0.0,0.0,,0.0,12.158557548603186,32.82412107542393,20.665563526820744,32.82412107542393,20.665563526820744,20.66647292020989,0.0
scoreable_pool,decision_sealed_at_limit,09:34,969,3341.9731682146544,100.0,0.07430340557275542,0.0,0.00222333938163991,0.0,0.0,,0.0,12.19526606409853,30.32557502689261,18.130308962794082,30.32557502689261,18.130308962794082,18.129162462936,0.0
scoreable_pool,decision_sealed_at_limit,09:35,969,3341.5407636738905,100.0,0.08565531475748193,0.0,0.002563347892943474,0.0,0.0,,0.0,11.721873312959445,28.34739226860814,16.625518955648698,28.34739226860814,16.625518955648698,16.62475703780591,0.0
scoreable_pool,decision_sealed_at_limit,09:36,969,3330.7430340557275,100.0,0.07223942208462332,0.0,0.0021688680677554384,0.0,0.0,,0.0,11.147573340172695,27.681430253209665,16.53385691303697,27.681430253209665,16.53385691303697,16.530945435221824,0.0
scoreable_pool,decision_sealed_at_limit,09:37,969,3318.656346749226,100.0,0.0629514963880289,0.0,0.0018968971116787292,0.0,0.0,,0.0,10.583675161101725,27.10959155093119,16.525916389829465,27.10959155093119,16.525916389829465,16.526567412529875,0.0
scoreable_pool,decision_sealed_at_limit,09:38,969,3311.533539731682,100.0,0.05263157894736842,0.0,0.0015893415638373062,0.0,0.0,,0.0,10.338433283938315,24.190091788083745,13.851658504145428,24.190091788083745,13.851658504145428,13.849840761113734,0.0
scoreable_pool,decision_sealed_at_limit,09:39,969,3307.1630546955626,100.0,0.0608875128998968,0.0010319917440660474,0.0018410798588671866,0.0010319917440660476,0.5605361109653496,-344.0516719095832,-0.0035505848494281032,9.669375929469336,22.225458252294665,12.556082322825326,22.232763488998497,12.563387559529158,12.564567216045816,0.0073052367038322075
scoreable_pool,decision_sealed_at_limit,09:40,969,3309.529411764706,100.0,0.0412796697626419,0.0,0.001247297262743792,0.0,0.0,,0.0,9.44682360263554,21.907234247537193,12.460410644901652,21.907234247537193,12.460410644901652,12.461453703535284,0.0
scoreable_pool,touched_limit_by_decision,09:31,969,3366.3642930856554,100.0,2.8441692466460267,0.3653250773993808,0.08448786284026981,0.3653250773993808,4.3239947741375975,-41.49272085231955,-0.15158331456884538,12.08094938591074,33.867445967696845,21.7864965817861,33.678027296597726,21.597077910686984,21.66368221262843,-0.1894186710991157
scoreable_pool,touched_limit_by_decision,09:32,969,3359.075335397317,100.0,3.5345717234262124,0.544891640866873,0.1052245445697376,0.544891640866873,5.178370152086959,-44.48362324793482,-0.24238754463270992,13.107300496115242,35.685510405568614,22.578209909453374,35.611528875536834,22.504228379421598,22.570142018492085,-0.07398153003177654
scoreable_pool,touched_limit_by_decision,09:33,969,3352.3653250773996,100.0,3.9205366357069145,0.5294117647058824,0.11694837094213165,0.5294117647058824,4.526884474242448,-76.34346351680904,-0.4041712774419302,12.158557548603186,32.82412107542393,20.665563526820744,33.124371587818,20.96581403921481,21.013890056622415,0.3002505123940651
scoreable_pool,touched_limit_by_decision,09:34,969,3341.9731682146544,100.0,4.235294117647059,0.5748194014447885,0.1267303447534749,0.5748194014447885,4.535767677133437,-81.67132971853103,-0.4694626486400597,12.19526606409853,30.32557502689261,18.130308962794082,30.601579808469836,18.406313744371303,18.438048562149067,0.2760047815772211
scoreable_pool,touched_limit_by_decision,09:35,969,3341.5407636738905,100.0,4.498452012383901,0.6522187822497421,0.13462208994386268,0.652218782249742,4.844812485987379,-96.52254493403869,-0.6295381671652471,11.721873312959445,28.34739226860814,16.625518955648698,28.906744093435936,17.184870780476494,17.20428760009204,0.5593518248277967
scoreable_pool,touched_limit_by_decision,09:36,969,3330.7430340557275,100.0,4.785345717234262,0.8699690402476781,0.14367201757402812,0.8699690402476781,6.055243428313519,-29.921243575082478,-0.260305555560315,11.147573340172695,27.681430253209665,16.53385691303697,27.8583290606521,16.710755720479405,16.737370940982125,0.17689880744243425
