Exit code: 0
Wall time: 0 seconds
Output:
policy,pool,unit,omitted_period,omitted_period_net_bps,remaining_cumulative_net_bps
visible_pretrade_refill,pool_L,month,2022-05,816.1724599327031,7782.537563276432
visible_pretrade_refill,pool_L,month,2022-06,953.6046622904629,7645.105360918671
visible_pretrade_refill,pool_L,month,2022-07,483.04212072106907,8115.667902488065
visible_pretrade_refill,pool_L,month,2022-08,-497.4756614406842,9096.185684649818
visible_pretrade_refill,pool_L,month,2022-09,-871.5648794436343,9470.274902652769
visible_pretrade_refill,pool_L,month,2022-10,482.1246481226686,8116.585375086465
visible_pretrade_refill,pool_L,month,2022-11,479.02033928639946,8119.689683922735
visible_pretrade_refill,pool_L,month,2022-12,-314.685555305597,8913.395578514732
visible_pretrade_refill,pool_L,month,2023-01,581.5083825536051,8017.201640655529
visible_pretrade_refill,pool_L,month,2023-02,269.0709842520382,8329.639038957095
visible_pretrade_refill,pool_L,month,2023-03,220.92930544526848,8377.780717763866
visible_pretrade_refill,pool_L,month,2023-04,250.01269441378372,8348.697328795351
visible_pretrade_refill,pool_L,month,2023-05,229.50267553519328,8369.20734767394
visible_pretrade_refill,pool_L,month,2023-06,392.45742635754095,8206.252596851593
visible_pretrade_refill,pool_L,month,2023-07,-266.59273910809827,8865.302762317233
visible_pretrade_refill,pool_L,month,2023-08,-198.09855524758407,8796.80857845672
visible_pretrade_refill,pool_L,month,2023-09,143.75215475574254,8454.957868453392
visible_pretrade_refill,pool_L,month,2023-10,0.2814545169671874,8598.428568692167
visible_pretrade_refill,pool_L,month,2023-11,364.2319728450982,8234.478050364036
visible_pretrade_refill,pool_L,month,2023-12,-188.84894595454367,8787.558969163678
visible_pretrade_refill,pool_L,month,2024-01,-1844.8254787159915,10443.535501925126
visible_pretrade_refill,pool_L,month,2024-02,1709.4752060504984,6889.234817158636
visible_pretrade_refill,pool_L,month,2024-03,615.8244403208414,7982.885582888293
visible_pretrade_refill,pool_L,month,2024-04,146.0833353822648,8452.626687826869
visible_pretrade_refill,pool_L,month,2024-05,-295.79191516175666,8894.501938370891
visible_pretrade_refill,pool_L,month,2024-06,-465.8066035018043,9064.516626710938
visible_pretrade_refill,pool_L,month,2024-07,87.43110688695688,8511.278916322177
visible_pretrade_refill,pool_L,month,2024-08,-728.3838203982302,9327.093843607365
visible_pretrade_refill,pool_L,month,2024-09,2544.8083242160214,6053.901698993113
visible_pretrade_refill,pool_L,month,2024-10,104.22138589448089,8494.488637314653
visible_pretrade_refill,pool_L,month,2024-11,461.5962857466196,8137.113737462515
visible_pretrade_refill,pool_L,month,2024-12,-471.8374566470335,9070.547479856168
visible_pretrade_refill,pool_L,month,2025-01,162.2789393714105,8436.431083837724
visible_pretrade_refill,pool_L,month,2025-02,1201.3249401031435,7397.385083105991
visible_pretrade_refill,pool_L,month,2025-03,-82.77943888074182,8681.489462089876
visible_pretrade_refill,pool_L,month,2025-04,270.8203386589568,8327.889684550177
visible_pretrade_refill,pool_L,month,2025-05,48.404080785203156,8550.30594242393
visible_pretrade_refill,pool_L,month,2025-06,550.5537187423397,8048.156304466795
visible_pretrade_refill,pool_L,month,2025-07,365.69970881380175,8233.010314395333
visible_pretrade_refill,pool_L,month,2025-08,1009.9955247004842,7588.71449850865
visible_pretrade_refill,pool_L,month,2025-09,487.70422351689024,8111.005799692244
visible_pretrade_refill,pool_L,month,2025-10,-46.76754659286819,8645.477569802002
visible_pretrade_refill,pool_L,month,2025-11,63.894810157757426,8534.815213051377
visible_pretrade_refill,pool_L,month,2025-12,488.2774402264266,8110.432582982708
capacity_only,pool_L,quarter,2022Q1,-241.9340579751098,9459.800573005734
capacity_only,pool_L,quarter,2022Q2,1052.9638027535834,8164.90271227704
capacity_only,pool_L,quarter,2022Q3,-830.5445987647983,10048.411113795422
capacity_only,pool_L,quarter,2022Q4,642.843707992407,8575.022807038218
capacity_only,pool_L,quarter,2023Q1,1130.3205589161505,8087.5459561144735
capacity_only,pool_L,quarter,2023Q2,1067.6144506947267,8150.252064335898
