case,window,horizon,pool,year,half,months,short_internal_excess_bps,next_internal_excess_bps,short_rank_ic,next_rank_ic,short_positive_months,next_positive_months
w1001_1010_h3m,10:01-10:10,3m,pool_L,2024,H1,6,8.283266,19.64258876987114,0.1893945292953973,0.0264129079271528,6,6
w1001_1010_h3m,10:01-10:10,3m,pool_L,2024,H2,6,8.072573,5.185389884619119,0.1855449470175943,-0.0048206037128737,6,4
w1001_1010_h3m,10:01-10:10,3m,pool_L,2025,H1,6,7.5095925,6.406906110227067,0.2009515886778006,0.0041941177928978,6,4
w1001_1010_h3m,10:01-10:10,3m,pool_L,2025,H2,6,6.6976814,11.501358050219611,0.1620274077289736,0.0005338468227371,6,4
w1001_1010_h5m,10:01-10:10,5m,universe,2022,H1,6,19.24322,-4.99065184300211,0.1610541480566431,0.0193741253982078,6,2
w1001_1010_h5m,10:01-10:10,5m,universe,2022,H2,6,15.813434,-9.694011767641308,0.1544313031407825,0.005964283081645,6,3
w1001_1010_h5m,10:01-10:10,5m,universe,2023,H1,6,14.387197,7.591976513031781,0.1544611109066583,0.0168135755900549,6,3
w1001_1010_h5m,10:01-10:10,5m,universe,2023,H2,6,14.042693,-28.09500578046024,0.1559909590889469,0.0023790520402694,6,0
w1001_1010_h5m,10:01-10:10,5m,universe,2024,H1,6,15.5555315,-2.624386955700884,0.1599812874879548,0.0304698632951529,6,2
w1001_1010_h5m,10:01-10:10,5m,universe,2024,H2,6,14.566363,-23.533013798595544,0.1609506871658255,0.0020870399813207,6,2
w1001_1010_h5m,10:01-10:10,5m,universe,2025,H1,6,13.351333,-19.22457499669852,0.163089487620844,0.009623426056006,6,2
w1001_1010_h5m,10:01-10:10,5m,universe,2025,H2,6,11.144543,-7.400168528080378,0.1404518810727261,0.0086538265139736,6,3
w1001_1010_h5m,10:01-10:10,5m,pool_L,2022,H1,6,11.9945345,21.679317960747824,0.1490241042096703,0.0159946744102266,6,5
w1001_1010_h5m,10:01-10:10,5m,pool_L,2022,H2,6,9.601583,4.47679805563294,0.1374760979872449,0.0023274359668244,6,5
w1001_1010_h5m,10:01-10:10,5m,pool_L,2023,H1,6,9.14592,19.976457992715485,0.1417853461616066,0.0128859200496305,6,5
w1001_1010_h5m,10:01-10:10,5m,pool_L,2023,H2,6,8.029669,-4.664953523078126,0.1428745303612605,-0.0041924703749912,6,2
w1001_1010_h5m,10:01-10:10,5m,pool_L,2024,H1,6,8.113688,24.384994623490144,0.1553276095268637,0.0268887994499592,6,6
w1001_1010_h5m,10:01-10:10,5m,pool_L,2024,H2,6,7.266295,2.488535983137503,0.1532714524788063,-0.00631230960838,6,3
w1001_1010_h5m,10:01-10:10,5m,pool_L,2025,H1,6,7.7392755,6.718856931596302,0.1667190324835009,0.0074574085839935,6,4
w1001_1010_h5m,10:01-10:10,5m,pool_L,2025,H2,6,6.700207,12.467956199638204,0.1309113410554365,0.0017894544196722,6,4
w1001_1010_h10m,10:01-10:10,10m,universe,2022,H1,6,19.892767,-13.007296946181649,0.1228035709488916,0.0200090500980428,6,2
w1001_1010_h10m,10:01-10:10,10m,universe,2022,H2,6,15.769628,-12.097504682004354,0.1173221352782855,0.0098964735441686,6,2
w1001_1010_h10m,10:01-10:10,10m,universe,2023,H1,6,14.825276,7.479356324701873,0.1189174987287661,0.0205257913032654,6,3
