case,window,label,pool,year,half,months,short_internal_excess_bps,next_internal_excess_bps,short_rank_ic,next_rank_ic,short_positive_months,next_positive_months
w1001_1010_h5m,10:01-10:10,5m,universe,2022,H2,6,16.052,-10.565681666962702,0.156921888982855,0.0084383545561271,6,2
w1001_1010_h5m,10:01-10:10,5m,universe,2023,H1,6,14.1942215,8.034599397638786,0.1567096497793116,0.0196595177084793,6,4
w1001_1010_h5m,10:01-10:10,5m,universe,2023,H2,6,14.590434,-27.45162035794332,0.1554611493004663,0.0007594368593514,6,0
w1001_1010_h5m,10:01-10:10,5m,universe,2024,H1,6,15.788479,-4.540061387386394,0.1594806943019434,0.0296653920811264,6,2
w1001_1010_h5m,10:01-10:10,5m,universe,2024,H2,6,15.409291,-24.051488981459443,0.1612776361956455,-0.0005719159807674,6,2
w1001_1010_h5m,10:01-10:10,5m,universe,2025,H1,6,13.351333,-19.22457499669852,0.163089487620844,0.009623426056006,6,2
w1001_1010_h5m,10:01-10:10,5m,universe,2025,H2,6,11.144543,-7.400168528080378,0.1404518810727261,0.0086538265139736,6,3
w1001_1010_h5m,10:01-10:10,5m,pool_L,2022,H1,6,11.778802,21.33680010634957,0.1501267806393021,0.0159366429404584,6,5
w1001_1010_h5m,10:01-10:10,5m,pool_L,2022,H2,6,9.551914,3.532860298709449,0.1397229579216347,0.004794730164441,6,4
w1001_1010_h5m,10:01-10:10,5m,pool_L,2023,H1,6,9.075381,21.23582146700112,0.1440074539319457,0.0145861713049797,6,5
w1001_1010_h5m,10:01-10:10,5m,pool_L,2023,H2,6,7.9588413,-5.233861158089229,0.1421246253777681,-0.0047189448687221,6,3
w1001_1010_h5m,10:01-10:10,5m,pool_L,2024,H1,6,8.415674,21.351740005021828,0.1551002313116537,0.0264106157989159,6,6
w1001_1010_h5m,10:01-10:10,5m,pool_L,2024,H2,6,7.508991,4.433809196775252,0.1540524999795282,-0.0068472647627764,6,3
w1001_1010_h5m,10:01-10:10,5m,pool_L,2025,H1,6,7.7392755,6.718856931596302,0.1667190324835009,0.0074574085839935,6,4
w1001_1010_h5m,10:01-10:10,5m,pool_L,2025,H2,6,6.700207,12.467956199638204,0.1309113410554365,0.0017894544196722,6,4
w1001_1010_h10m,10:01-10:10,10m,universe,2022,H1,6,22.402178,-6.128082910520931,0.1264120550041951,0.0199811240584615,6,3
w1001_1010_h10m,10:01-10:10,10m,universe,2022,H2,6,17.917444,-9.851154256413048,0.1178716376412869,0.008795910340099,6,2
w1001_1010_h10m,10:01-10:10,10m,universe,2023,H1,6,15.836068,9.718918198866016,0.1194969115475532,0.0187557874653739,6,4
w1001_1010_h10m,10:01-10:10,10m,universe,2023,H2,6,15.372208,-32.5303513768932,0.1078208281832615,-0.0041183733543553,6,0
w1001_1010_h10m,10:01-10:10,10m,universe,2024,H1,6,16.21943,-8.384310131625385,0.1212525192042134,0.0285048272143399,6,2
w1001_1010_h10m,10:01-10:10,10m,universe,2024,H2,6,15.806229,-18.92647873725433,0.1210073259917781,-0.0016921827267868,6,2
w1001_1010_h10m,10:01-10:10,10m,universe,2025,H1,6,13.902462,-20.76341077263975,0.1156737607522814,0.0026993561941389,6,3
w1001_1010_h10m,10:01-10:10,10m,universe,2025,H2,6,11.761707,-7.755843642834928,0.0948969650276744,-0.003133041331306,6,3
w1001_1010_h10m,10:01-10:10,10m,pool_L,2022,H1,6,13.554404,24.783931458997863,0.1182559891225385,0.0201454920586498,6,6
w1001_1010_h10m,10:01-10:10,10m,pool_L,2022,H2,6,9.947489,6.357480304266029,0.1027639170469912,0.0056759722903718,6,3
w1001_1010_h10m,10:01-10:10,10m,pool_L,2023,H1,6,9.807628,25.668639619320928,0.1085449749955089,0.0148913860742681,6,5
w1001_1010_h10m,10:01-10:10,10m,pool_L,2023,H2,6,8.647433,-6.636303388543186,0.0958998726191108,-0.0084993140508698,6,2
w1001_1010_h10m,10:01-10:10,10m,pool_L,2024,H1,6,7.5919127,20.14988788011256,0.1164661613475443,0.0265423635520223,6,4
w1001_1010_h10m,10:01-10:10,10m,pool_L,2024,H2,6,7.4624534,5.661596975588023,0.1150046698594833,-0.0073946537182966,6,4
w1001_1010_h10m,10:01-10:10,10m,pool_L,2025,H1,6,7.3073044,8.748573039578268,0.1182243893511161,0.0040405229248854,6,4
w1001_1010_h10m,10:01-10:10,10m,pool_L,2025,H2,6,7.5973735,13.287327812579186,0.0873368262340337,-0.0057101960159496,6,4
w1001_1010_h1h,10:01-10:10,1h,universe,2022,H1,6,32.41145,-13.507088590132144,0.056022511147461,0.0160603136742303,6,2
w1001_1010_h1h,10:01-10:10,1h,universe,2022,H2,6,19.20436,-21.957584721130885,0.0470360195521455,0.0082373034824733,6,1
w1001_1010_h1h,10:01-10:10,1h,universe,2023,H1,6,21.23554,7.5828175906330975,0.0463753187181676,0.019780110162254,6,4
w1001_1010_h1h,10:01-10:10,1h,universe,2023,H2,6,17.770088,-33.458396006346966,0.0324529167205093,0.0038932528168355,6,0
w1001_1010_h1h,10:01-10:10,1h,universe,2024,H1,6,19.735514,-2.793094155130754,0.0587656726186243,0.0358976102089063,6,2
w1001_1010_h1h,10:01-10:10,1h,universe,2024,H2,6,24.658972,-22.383962544598635,0.0550566229573559,0.0041374323032182,6,1
w1001_1010_h1h,10:01-10:10,1h,universe,2025,H1,6,19.062033,-23.54605954221668,0.0455575109286841,0.0072842265233315,6,2
w1001_1010_h1h,10:01-10:10,1h,universe,2025,H2,6,12.85745,-14.425651633866236,0.0410280906066543,0.0024994603933517,6,3
w1001_1010_h1h,10:01-10:10,1h,pool_L,2022,H1,6,15.817298,21.81512103504174,0.0509172563068176,0.0169569928588542,6,5
w1001_1010_h1h,10:01-10:10,1h,pool_L,2022,H2,6,8.496094,3.978681869631291,0.0379726817612164,0.0070659270280376,6,3
w1001_1010_h1h,10:01-10:10,1h,pool_L,2023,H1,6,11.906367,24.514199858475692,0.0383936755386719,0.020074937288016,6,5
w1001_1010_h1h,10:01-10:10,1h,pool_L,2023,H2,6,7.412983,-2.469534290694253,0.0260207520659662,0.0037485313186551,6,4
w1001_1010_h1h,10:01-10:10,1h,pool_L,2024,H1,6,8.617,22.38826986000068,0.0556447045080001,0.0360589654940347,5,4
w1001_1010_h1h,10:01-10:10,1h,pool_L,2024,H2,6,10.662323,6.057445494991476,0.053653320318826,0.0034988733345863,6,4
w1001_1010_h1h,10:01-10:10,1h,pool_L,2025,H1,6,10.458894,15.960959774883024,0.0463364257945193,0.0145030593464205,6,5
w1001_1010_h1h,10:01-10:10,1h,pool_L,2025,H2,6,6.9919667,10.64812963556544,0.0380808511692254,0.0030933083839268,5,5
w1001_1010_hclose,10:01-10:10,close,universe,2022,H1,6,34.84884,3.083058613661945,0.052730799869152,0.0324384102080573,6,2
w1001_1010_hclose,10:01-10:10,close,universe,2022,H2,6,28.234375,-1.4121893971565804,0.0467210634594957,0.0242678926574588,6,3
w1001_1010_hclose,10:01-10:10,close,universe,2023,H1,6,35.08218,14.705860232712912,0.0468967295394534,0.0259021416953735,6,4
w1001_1010_hclose,10:01-10:10,close,universe,2023,H2,6,27.36255,-14.57262272654952,0.0330486969044159,0.0129303568007443,6,2
w1001_1010_hclose,10:01-10:10,close,universe,2024,H1,6,38.71318,7.024708730273344,0.062481265929906,0.0457745547359854,6,3
w1001_1010_hclose,10:01-10:10,close,universe,2024,H2,6,30.805273,-6.7926179521811,0.054404733670412,0.0224666816962346,6,3
w1001_1010_hclose,10:01-10:10,close,universe,2025,H1,6,30.642815,4.367687879848938,0.0476620298592952,0.0278348130050465,6,4
w1001_1010_hclose,10:01-10:10,close,universe,2025,H2,6,25.086931,1.8896564712928043,0.0313751645599953,0.0100994879194759,6,2
w1001_1010_hclose,10:01-10:10,close,pool_L,2022,H1,6,19.683084,22.03418247175369,0.0441588932099214,0.0248233740434102,6,6
w1001_1010_hclose,10:01-10:10,close,pool_L,2022,H2,6,13.185383,7.602178299394347,0.0344865316644714,0.0154742432729166,6,4
w1001_1010_hclose,10:01-10:10,close,pool_L,2023,H1,6,23.932272,24.51604082822304,0.0358604847863275,0.0188540562391002,6,5
w1001_1010_hclose,10:01-10:10,close,pool_L,2023,H2,6,12.384822,0.5781919258204565,0.0200466489986188,0.0040547056843759,5,5
w1001_1010_hclose,10:01-10:10,close,pool_L,2024,H1,6,24.386564,18.960941517257808,0.0555061997240987,0.0375315508805974,6,4
w1001_1010_hclose,10:01-10:10,close,pool_L,2024,H2,6,15.05882,6.989374815257993,0.040707727315018,0.0112985275773165,6,5
w1001_1010_hclose,10:01-10:10,close,pool_L,2025,H1,6,18.085295,20.033282217062936,0.0371167995855659,0.0200790111254656,6,5
w1001_1010_hclose,10:01-10:10,close,pool_L,2025,H2,6,13.752574,12.302585173751469,0.0237082999849392,0.0046416130320409,6,5
w1401_1410_h1m,14:01-14:10,1m,universe,2022,H1,6,14.3581505,-31.47699852123692,0.3663055916659891,0.0137622643632831,6,0
w1401_1410_h1m,14:01-14:10,1m,universe,2022,H2,6,11.969136,-22.351043841228275,0.3839044516012548,0.0107915224591562,6,0
w1401_1410_h1m,14:01-14:10,1m,universe,2023,H1,6,10.804025,-12.48758226992112,0.3828774186694303,0.0209914017634696,6,2
w1401_1410_h1m,14:01-14:10,1m,universe,2023,H2,6,10.374669,-33.26143400590132,0.38864585662381,0.0091915783676435,6,0
w1401_1410_h1m,14:01-14:10,1m,universe,2024,H1,6,13.251655,-23.22918817547972,0.3862836008939355,0.01948846797341,6,1
w1401_1410_h1m,14:01-14:10,1m,universe,2024,H2,6,14.84616,-39.88968521392393,0.3955268802069809,0.0013236108415542,6,1
