case,window,label,pool,test_month,groups,months,candidate_rows,selected_rows,pool_short_mean_bps,selected_short_mean_bps,short_internal_excess_bps,pool_next_mean_bps,selected_next_mean_bps,next_internal_excess_bps,short_rank_ic,next_rank_ic
w0931_0940_hclose,09:31-09:40,close,pool_L,2022Q1,580,3,3102.1706896551723,100.0,-22.380896,27.330624,49.71152,-34.47271542020658,28.721131614302035,63.19384703450862,0.0398338181702423,0.0319936703703424
w0931_0940_hclose,09:31-09:40,close,pool_L,2022Q2,590,3,3149.913559322034,100.0,12.797749,42.574768,29.77702,22.58534693227824,54.49747635635186,31.912129424073623,0.053589226289455,0.0380114459388101
w0931_0940_hclose,09:31-09:40,close,pool_L,2022Q3,650,3,3217.253846153846,100.0,-16.065733,8.636957,24.70269,-27.10562952288221,-0.5488749362516949,26.55675458663052,0.0395172762664387,0.029373713593953
w0931_0940_hclose,09:31-09:40,close,pool_L,2022Q4,600,3,3296.1466666666665,100.0,2.9800758,22.823278,19.8432,27.95947625030541,43.65703668573917,15.697560435433756,0.0303746317624479,0.0220723016130126
w0931_0940_hclose,09:31-09:40,close,pool_L,2023Q1,590,3,3341.3050847457625,100.0,5.7588468,23.638443,17.879597,25.40485553663505,46.74235272315522,21.337497186520167,0.0229046883994145,0.0154664512891274
w0931_0940_hclose,09:31-09:40,close,pool_L,2023Q2,590,3,3367.916949152542,100.0,5.1405387,38.269463,33.12892,5.378871748541531,51.30838966547656,45.92951791693503,0.0181479430808817,0.0088757161626605
w0931_0940_hclose,09:31-09:40,close,pool_L,2023Q3,640,3,3429.009375,100.0,-8.96369,17.163553,26.127243,-10.232943896903148,3.5218270087849133,13.754770905688062,0.025978085739757,0.0079132096672663
w0931_0940_hclose,09:31-09:40,close,pool_L,2023Q4,600,3,3463.076666666667,100.0,2.2721474,21.802505,19.530357,8.762587809951603,21.82730535537052,13.064717545418915,0.0247900975100023,0.0147898935247805
w0931_0940_hclose,09:31-09:40,close,pool_L,2024Q1,580,3,3481.4224137931037,100.0,-6.502749,31.76884,38.271587,-5.147496956454227,41.771617349392265,46.91911430584649,0.0484171712212872,0.0320406215145309
w0931_0940_hclose,09:31-09:40,close,pool_L,2024Q2,590,3,3460.6474576271185,100.0,-12.9634905,8.589967,21.553457,-28.28537784287089,-25.23644968363125,3.0489281592396416,0.0183042940693171,0.0007399490230176
w0931_0940_hclose,09:31-09:40,close,pool_L,2024Q3,640,3,3467.340625,100.0,16.387775,34.081585,17.69381,64.19708536621907,79.20043299924316,15.003347633024095,0.0161825144302186,-0.0031423534399149
w0931_0940_hclose,09:31-09:40,close,pool_L,2024Q4,610,3,3464.3934426229507,100.0,-6.7867627,19.182611,25.969376,-1.6819869520978337,23.48448571502315,25.166472667120985,0.0355024536689823,0.0383749463232625
w0931_0940_hclose,09:31-09:40,close,pool_L,2025Q1,570,3,3480.8087719298246,100.0,10.798498,33.159344,22.360847,36.00091812559234,59.96975627109252,23.96883814550017,0.0193335147674128,0.0130936250599085
w0931_0940_hclose,09:31-09:40,close,pool_L,2025Q2,600,3,3460.8516666666665,100.0,11.317986,23.103695,11.785708,29.61715573154607,51.54044772644956,21.923291994903494,0.0095835853220227,0.0131676161658404
w0931_0940_hclose,09:31-09:40,close,pool_L,2025Q3,660,3,3468.4984848484846,100.0,15.4117985,34.281025,18.869225,44.32239470724302,65.1878527826482,20.865458075405183,0.0071881430835272,-0.0063448704075686
